gid,_record_id,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,name,icon,general_description,photo_marquee,photo_other,audio
11,736ea5fc-bea2-45be-8fd2-3701a68c0d0f,2020-04-30 13:40:37 EDT,Steve Signell,SRID=4326;POINT(-74.1929018 43.9747532),43.9747532,-74.1929018,Graveyard Bay Overlook,Overlook,"Graveyard Bay was named for the small cemetery located just across from the AIC entrance on Route 28N.  The deepest part of the lake, 57 feet, is located at the mouth of  the bay.",389338a2-df7f-4266-a2f6-e5048161b81a,18c17710-c48b-4edd-bb16-dc31c8c82217,
12,97eaa8b3-87b6-43df-af63-4fbf7bc25409,2020-04-30 13:40:37 EDT,Steve Signell,SRID=4326;POINT(-74.1946255 43.975794),43.975794,-74.1946255,Peninsula Overlook #2,Overlook,"This overlook provides a view of Rich Lake and the Goodnow Mountain Fire Tower.  Rich Lake was named after its nutrient-rich waters leached from the calcium-rich bedrock that is abundant in the Newcomb area.   The Goodnow Mountain Fire Tower can be seen on the summit of Goodnow Mountain, rising above Rich Lake to the south.",f80c3a88-9baa-4cec-b0f9-c8bcfa5c52bc,,
13,6a04e4e1-c3e2-4444-9a82-94cf4f4958df,2020-04-30 13:40:36 EDT,Steve Signell,SRID=4326;POINT(-74.191024 43.977122),43.977122,-74.191024,Logging Cable,Historic Site,"The large metal chain surrounding the cedar tree is part of the logging history of the Rich Lake area.  During the winter months,  trees that had been felled and cut to a specific length were hauled on to the ice to await the spring snow and lake ice melt. This chain held a log boom, a series of logs strung together, whose purpose was to hold back the logs until the spring runoff. During the runoff, the log drive could commence and the dam at the outlet would be open to flush the logs down stream, beginning their one or two year trip to the sawmills and paper mills in the Glens Falls area. Remnants of the Rich Lake dam can be seen from the Sage Trail. ",76330944-e10c-4159-a709-973e1dda0e42,,
14,20baa587-668b-4c71-a86a-7517bcbfb7df,2020-04-30 13:40:36 EDT,Steve Signell,SRID=4326;POINT(-74.190189 43.975253),43.975253,-74.190189,Goodnow Mountain,Historic Site,"Looking south across Graveyard Bay,  you will see Goodnow Mountain, a 2690 foot mountain named for Sylvester Goodnow.  As early as 1882, Mr Goodnow had a farm and cabin at the foot of the mountain near the present day cemetery (hence the name of the bay). The 60 foot fire tower was erected in 1922, one of over one hundred fire towers the NYS Department of Conservation used to promptly identify fires in the State. It was last manned in 1979 by Newcomb resident Michael Yandon. There is a 2 mile trail that ascends the mountain to the summit where you can climb the fire tower and have a magnificent view of the surrounding area including a spectacular view of the southern High Peaks.",a7cb8f48-25b4-44bd-9a04-dff18f184ba1,"df77b8f4-a27c-480e-b04e-c0bd236f8bd2,1e330393-10f3-4e18-86ab-6be84f370673",
15,d9ead7e2-54c5-48ff-b0b7-1a815a24719b,2020-04-30 13:40:36 EDT,Steve Signell,SRID=4326;POINT(-74.181064 43.973132),43.973132,-74.181064,Remnants of Rich Lake Dam,Historic Site,Site of the former Rich Lake Dam.,,,
16,6547c145-fe12-44a9-8ed7-755b700b63e3,2020-04-30 13:40:36 EDT,Steve Signell,SRID=4326;POINT(-74.1845963 43.9759277),43.9759277,-74.1845963,Old Military Road,Historic Site,"Part of the Sucker Brook Trail follows the Old Military Road, which was built in 1807 to connect Lake George to the Canton area. It was created for military use (Fort William Henry to the St. Lawrence River) and to induce settlement along its length. The road was built by soldiers who later fought in the War of 1812. A cannonball was discovered in August of 1932 underneath an uprooted tree near the side of the trail north of this location.",0b6a5975-4191-446c-a970-5c1d209609d9,14c742d2-3cb6-43fe-8981-bd7405d253fe,
17,bc1bb807-1a4b-4eca-989c-84d872bfffcc,2020-04-30 13:40:36 EDT,Steve Signell,SRID=4326;POINT(-74.19203 43.97663),43.97663,-74.19203,Overlook - Geology,Geology,"The bedrock geology of the Rich Lake basin includes a variety of marbles including graphitic marble.  An example of this type of marble is the mostly white rocks on the shore to the right of the overlook. The marble, which is metamorphosed limestone,  was folded into the bedrock of this area. The lake water eventually eroded some of these marble folds and intrusions to create the stunning formations in the photos below.  In his 1866 book, ""The Hudson, from Wilderness to Sea"",  Benson Lossing  called the peninsula ""Elephant Island"" because of the unique appearance of these formations.",093f72a0-e178-443f-b535-3d75fe1dfc69,,
18,51c5e5b1-64ee-4f2b-9653-c3e0e5822ab8,2020-04-30 13:40:35 EDT,Steve Signell,SRID=4326;POINT(-74.1916643 43.9759232),43.9759232,-74.1916643,Glacial erratic,Geology,"Does the large boulder in front of you seem out of place? That is because it was not always resting here.  Approximately 21,000 years-ago  an immense  glacier scoured the ground on which you are standing. As the earth warmed and the glaciers melted and retreated, debris and boulders that were picked up as the glacier moved, were dropped out of the melting ice.  Boulders  of this size that were transported by glaciers are called ""Glacial Erratics"".  These erratics can provide a unique substrate on which  plants, especially ferns, lichens,  liverworts and mosses, can grow.",148063af-640b-407e-9a10-677a47f8f4f7,edbdde20-b842-4951-bfb8-4dc6a36d39ab,
19,b15ee080-da15-4fd4-8797-6127d442882a,2020-04-30 13:40:35 EDT,Steve Signell,SRID=4326;POINT(-74.1891167 43.9742684),43.9742684,-74.1891167,Cedar Swamp,Ecosystem,"This boardwalk takes you through a remarkable northern white-cedar swap. Northern white-cedar is the only member of the Thuja genus found in New York State. The specimens before you are among the largest you will find  in the northeast and are roughly 100-150 years old.   It is also known as Arborvitae or “the tree of life”, a named bestowed upon it by British explorer Jacques Cartier.  On Cartier’s second voyage to North America in 1536, his crew suffered terribly from scurvy; 8 of his 110 man crew had died and 50 were sick . They were cured by drinking a concoction that the Iroquois prepare by boiling the leaves and bark from the cedar tree, which proved to be high in vitamin C (ascorbic acid). This tree species has the distinction of being the first tree to be brought back from the New World and introduced into Europe. ",ba282359-ea84-45d2-8c5a-c4d44af0fd7c,,
20,e832595f-4f93-429f-bf2b-85d9a9b89add,2020-04-30 13:40:34 EDT,Steve Signell,SRID=4326;POINT(-74.1852883 43.9755953),43.9755953,-74.1852883,Hemlock Grove,Ecosystem,"Here is a small, but classic Hemlock Grove.  Typically found in cool, moist environments along rivers and lakes, hemlock groves are dominated by Eastern hemlock (Tsuga canadensis),  sometimes accompanied by spruce or white pine trees, such as those seen here.  Hemlock groves are very shady and mostly devoid of plants in the understory; fallen hemlock needles contain very strong chemicals that leach into the soil, making it toxic for most plants other than hemlock.  Hike out on the Peninsula Trail to see and an example of an old-growth hemlock grove.",ed382409-83c7-4ff6-8400-fd127db71503,,
21,f45ef1f3-38ec-47ac-b910-ab32aa990120,2020-04-30 13:40:34 EDT,Steve Signell,SRID=4326;POINT(-74.188356 43.974433),43.974433,-74.188356,Adirondack Interpretive Center Building,Building,"Inside the AIC building, we have an array of exhibits, props and publications that allow you to explore the natural and cultural history of the Adirondacks as well as displays that introduce visitors to the SUNY College of Environmental Science and Forestry (ESF). In our Northern Forest Room, you can sit back and enjoy the view of the surrounding forest, discover the various wildlife communities found in the Adirondacks, and learn about the natural resources that define our past, current, and future use of the forest. In our main lobby you can learn  more about the ecology of the Adirondacks and about the history of ESF and the Newcomb Campus.",fa2a5972-b3da-47dc-ab49-d2ee304b5f7c,ffcee4ca-3707-4145-9de3-1f7e040bed40,
